ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
M00927	Gibberellin A12 biosynthesis, GAPP => GA12	15/145	16/1640	0.9375	10.6034482758621	12.0184112858078	1.17620376745116e-15	5.41053733027535e-14	4.33338230113586e-14	110928585/110928588/110899628/110899627/110879488/110879533/118479237/110884117/110879531/110910286/110918013/110918028/110917813/110918153/110922746	15
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	12/145	21/1640	0.571428571428571	6.46305418719212	7.84466880534003	2.15964553970183e-08	4.96718474131422e-07	3.97829441524022e-07	110900233/110915577/110916735/110941574/110868536/110918635/110879810/110894842/110908424/110904306/110916573/110916217	12
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	10/145	15/1640	0.666666666666667	7.54022988505747	7.92254732699988	4.43587151325952e-08	6.8016696536646e-07	5.44756150751169e-07	110911321/110927370/110879910/110873035/110873037/110879918/110897576/110897603/110908540/110906814	10
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	10/145	19/1640	0.526315789473684	5.95281306715064	6.76067581668704	9.98032028921536e-07	1.14773683325977e-05	9.19240026638257e-06	110911321/110927370/110879910/110873035/110873037/110879918/110897576/110897603/110908540/110906814	10
M00897	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	5/145	11/1640	0.454545454545455	5.141065830721	4.2904299591907	0.00150525411995531	0.0138483379035889	0.0110913461470392	110885420/110889559/110909149/110897428/110908263	5
M00999	UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA	6/145	19/1640	0.31578947368421	3.57168784029038	3.51039854607751	0.00443496562640058	0.0340014031357378	0.0272322450743895	110920258/110915639/118480454/110921944/110903910/110920853	6
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	6/145	20/1640	0.3	3.39310344827586	3.35252360733603	0.00588142670202993	0.0386493754704824	0.0309548773791049	110910990/110914275/110879462/110879944/110904518/110920775	6
