ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
M00009	Citrate cycle (TCA cycle, Krebs cycle)	30/317	53/1640	0.566037735849057	2.92839711921909	6.98369286374387	9.59591749977869e-10	5.94946884986279e-08	4.74745392094314e-08	110881909/110929171/110929686/110929679/110936786/110937064/110938184/110938185/110864574/110944702/110865622/110867916/110868063/110877314/110878391/110878879/110879703/110883985/110885871/110886710/110891265/110891536/110895209/110904842/110897535/110899022/110909078/110912246/110915266/110915602	30
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	19/317	37/1640	0.513513513513513	2.65666297212038	4.98778186846706	9.80858134297134e-06	0.000304066021632112	0.000242633327957712	110929679/110936786/110937064/110864574/110944702/110865622/110877314/110878391/110878879/110879703/110883985/110885871/110886710/110891536/110895209/110897535/110899022/110912246/110915266	19
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	11/317	16/1640	0.6875	3.55678233438486	5.02921175111027	2.07754993187164e-05	0.000429360319253473	0.000342613497536727	110881909/110929171/110929686/110938184/110938185/110867916/110868063/110891265/110904842/110909078/110915602	11
M00002	Glycolysis, core module involving three-carbon compounds	21/317	56/1640	0.375	1.94006309148265	3.50277799336264	0.000964953310185026	0.0149567763078679	0.011934948836499	110941794/110876741/110882039/110882272/110941098/110942177/110865716/110869292/110884435/110885223/110889698/110891332/110897757/110908654/110905145/110905169/110909989/110911552/110912883/110914942/110923124	21
M00087	beta-Oxidation	9/317	17/1640	0.529411764705882	2.73891259974021	3.52681062796956	0.00189867657146145	0.0235435894861219	0.0187869050228817	110928562/110930717/110886914/110893751/110899786/110899789/110920168/110923146/110921414	9
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	28/317	87/1640	0.32183908045977	1.66503499039124	3.11930312476159	0.00234339625949651	0.0242150946814639	0.0193227410870765	110941794/110876741/110882039/110882272/110936775/110941098/110942177/110864940/110865716/110867907/110869292/110872796/110884435/110885223/110886932/110889698/110891332/110893760/110915118/110897757/110908654/110905145/110905169/110909989/110911552/110912883/110914942/110923124	28
M00089	Triacylglycerol biosynthesis	19/317	54/1640	0.351851851851852	1.82030611052693	2.99957980414622	0.0039495383463613	0.0349816253534858	0.0279140304178919	110866551/110866626/110928453/110930224/110865002/110865336/110884266/110884267/110884714/110886978/110893727/110897983/110899435/110899610/110909196/110909198/110909201/110910049/110912205	19
